metodo,consulta,repeticao,tempo_ms,tamanho_bytes
GraphQL,por_id,20,369.37,182
GraphQL,por_id,21,296.66,182
REST,por_id,21,36.19,2719
REST,por_id,22,39.09,2719
GraphQL,por_id,22,354.02,182
GraphQL,por_id,23,275.6,182
REST,por_id,23,37.92,2719
REST,por_id,24,119.06,2719
GraphQL,por_id,24,377.12,182
GraphQL,por_id,25,316.89,182
REST,por_id,25,37.94,2719
REST,por_id,26,38.77,2719
GraphQL,por_id,26,364.41,182
GraphQL,por_id,27,888.13,182
REST,por_id,27,37.11,2719
REST,por_id,28,70.87,2719
GraphQL,por_id,28,320.9,182
GraphQL,por_id,29,291.16,182
REST,por_id,29,106.08,2719
REST,por_id,30,79.99,2719
GraphQL,por_id,30,397.17,182
GraphQL,composta,1,496.13,3927
REST,composta,1,148.75,72737
REST,composta,2,79.17,72737
GraphQL,composta,2,290.63,3927
GraphQL,composta,3,305.61,3927
REST,composta,3,78.62,72737
REST,composta,4,104.49,72737
GraphQL,composta,4,369.46,3927
GraphQL,composta,5,422.74,3927
REST,composta,5,80.91,72737
REST,composta,6,107.68,72737
GraphQL,composta,6,267.77,3927
GraphQL,composta,7,332.32,3927
REST,composta,7,135.74,72737
REST,composta,8,82.18,72737
GraphQL,composta,8,340.86,3927
GraphQL,composta,9,276.81,3927
REST,composta,9,80.35,72737
REST,composta,10,87.16,72737
GraphQL,composta,10,332.4,3927
GraphQL,composta,11,323.72,3927
REST,composta,11,81.58,72737
REST,composta,12,87.14,72737
GraphQL,composta,12,290.5,3927
GraphQL,composta,13,327.24,3927
REST,composta,13,125.37,72737
REST,composta,14,81.92,72737
GraphQL,composta,14,356.38,3927
GraphQL,composta,15,304.86,3927
REST,composta,15,159.34,72737
REST,composta,16,74.38,72737
GraphQL,composta,16,440.33,3927
GraphQL,composta,17,293.55,3927
REST,composta,17,167.03,72737
REST,composta,18,79.03,72737
GraphQL,composta,18,298.61,3927
GraphQL,composta,19,280.18,3927
REST,composta,19,84.49,72737
REST,composta,20,76.15,72737
GraphQL,composta,20,294.95,3927
GraphQL,composta,21,411.09,3927
REST,composta,21,157.15,72737
REST,composta,22,102.69,72737
GraphQL,composta,22,287.06,3927
GraphQL,composta,23,294.41,3927
REST,composta,23,83.67,72737
REST,composta,24,83.94,72737
GraphQL,composta,24,312.09,3927
GraphQL,composta,25,280.43,3927
REST,composta,25,84.35,72737
REST,composta,26,77.87,72737
GraphQL,composta,26,342.05,3927
GraphQL,composta,27,318.33,3927
REST,composta,27,81.2,72737
REST,composta,28,84.35,72737
GraphQL,composta,28,402.06,3927
GraphQL,composta,29,319.63,3927
REST,composta,29,85.66,72737
REST,composta,30,83.24,72737
GraphQL,composta,30,308.34,3927
